DJK Leutershausen,102050,ByTTV
DJK Lindern-Würm-Beeck,159026,WTTV
DJK Löhrieth,102051,ByTTV
DJK Löwe Köln,151045,WTTV
DJK Lübeck,70314,TTVSH
DJK Mannheim,508,BaTTV
DJK Mannheim Lindenhof,525,BaTTV
DJK Marktsteinach,706018,ByTTV
DJK Marktsteinach-Löffelsterz,102053,ByTTV
DJK Matzen,002296,TTVR
DJK Mayen,002248,TTVR
DJK Mog. Bretzenheim,302,RTTV
DJK Mömbris,101062,ByTTV
DJK Mülheim 09,148006,WTTV
DJK Müllenbach,001678,TTVR
DJK Neckarhausen,806,BaTTV
DJK Nesslbach,415046,ByTTV
DJK Neuhaus,208042,ByTTV
DJK Neustadt a.d. Waldnaab,208045,ByTTV
DJK Niedernberg,101067,ByTTV
DJK Niedersteinbach,101068,ByTTV
DJK Nieheim,183011,WTTV
DJK Novesia Neuss,142032,WTTV
DJK Nüdlingen,705021,ByTTV
DJK Nürnberg-Eibach,207087,ByTTV
DJK Oberharmersbach,24031,SbTTV
DJK Obermässing e.V.,104062,ByTTV
DJK Oberschopfheim,24034,SbTTV
DJK Offenburg,24037,SbTTV
DJK Olympia Bottrop,176020,WTTV
DJK Oschersleben,11441,TTVSA
DJK Ost Karlsruhe,426,BaTTV
DJK Ottweiler,425,STTB
DJK Palatia Limburgerhof,135,PTTV
DJK Pfersee e.V.,309081,ByTTV
DJK Pressath,208051,ByTTV
DJK Preußen Bochum,111017,WTTV
DJK Prüm - Enz,002309,TTVR
DJK Pörndorf,415055,ByTTV
DJK Quettingen,153042,WTTV
DJK RW Finthen,309,RTTV
DJK Rasensport Brand,157007,WTTV
DJK Rattenberg,415057,ByTTV
DJK Reding-Mittich,206028,ByTTV
DJK Regensburg Nord,413057,ByTTV
DJK Rettenbach,401008,ByTTV
DJK Rettenbach-SSV Brennberg,413063,ByTTV
DJK Rheinland Ruhrort-Meiderich,148025,WTTV
DJK Rheinland Wersten,141019,WTTV
DJK Rheinwacht Oberwesel,001716,TTVR
DJK Rhenania VfS Kleve,146002,WTTV
DJK Rimpar,103038,ByTTV
DJK Roland Rauxel,112022,WTTV
DJK Rück-Schippach 1969 e.V.,101077,ByTTV
DJK Rüppurr,435,BaTTV
DJK SB Landshut e.V.,414048,ByTTV
DJK SB Regensburg,413055,ByTTV
DJK SB Straubing,201008,ByTTV
DJK SC BW Mülhausen,147028,WTTV
DJK SC Everswinkel,172040,WTTV
DJK SC Nienberge,172008,WTTV
DJK SF Bockhorst,4410300,TTVN
DJK SF Gerresheim,141032,WTTV
DJK SF Langwasser Nürnberg,606005,ByTTV
DJK SG 58 Dillenburg,32019,HeTTV
DJK SG Blau-Weiß Lahr,33040,HeTTV
DJK SG Concordia Ludwigshafen,139,PTTV
DJK SG Eintr. 1925 Rüsselsheim,44022,HeTTV
DJK SG Ingolstadt,102003,ByTTV
DJK SG Nütheim-Schleckheim,157027,WTTV
DJK SPORTBUND Stuttgart,14036,TTVWH
DJK SR Cappel,113038,WTTV
DJK SSG Bensheim,41002,HeTTV
DJK SSG Paderborn,187009,WTTV
DJK SSG SB Frankfurt,43016,HeTTV
DJK SSV Ommerborn-Sand,153050,WTTV
DJK SV Adlkofen,414001,ByTTV
DJK SV Berg,413010,ByTTV
DJK SV Eiche Offenbach,46031,HeTTV
DJK SV Eschweiler-Dürwiß,158007,WTTV
DJK SV Furth,414022,ByTTV
DJK SV GW Nottuln,175007,WTTV
DJK SV Geratskirchen,415023,ByTTV
DJK SV Griesstätt,416028,ByTTV
